template_id,service_code,service_group_id,package_type_id,fee_version_id,service_id
,M4,21,24,54,3064
,M4,21,49,54,3065
,M4,21,24,55,3066
,M4,21,49,55,3067
,M4,21,24,56,3068
,M4,21,49,56,3069
,M4,21,24,60,3070
,M4,21,49,60,3071
,M4,24,24,57,3080
,M4,24,49,57,3081
,M4,24,24,58,3082
,M4,24,49,58,3083
,M4,24,24,59,3084
,M4,24,49,59,3085
,01,6,29,54,3093
,01,6,29,55,3094
,01,6,29,56,3095
,01,6,29,57,3096
,01,6,29,58,3097
,01,6,29,59,3098
,01,6,29,60,3099
,01_207,6,64,54,3093
,01_207,6,64,55,3094
,01_207,6,64,56,3095
,01_207,6,64,57,3096
,01_207,6,64,58,3097
,01_207,6,64,59,3098
,01_207,6,64,60,3099
,02,7,27,54,3100
,02,7,27,55,3101
,02,7,27,56,3102
,02,7,27,57,3103
,02,7,27,58,3104
,02,7,27,59,3105
,02,7,27,60,3106
,02_207,7,65,54,3100
,02_207,7,65,55,3101
,02_207,7,65,56,3102
,02_207,7,65,57,3103
,02_207,7,65,58,3104
,02_207,7,65,59,3105
,02_207,7,65,60,3106
,GlobalPostPriority,8,50,54,3107
,GlobalPostPriority,8,50,55,3108
,GlobalPostPriority,8,50,56,3109
,GlobalPostPriority,8,50,57,3110
,GlobalPostPriority,8,50,58,3111
,GlobalPostPriority,8,50,59,3112
,GlobalPostPriority,8,50,60,3113
,03,2,25,54,3086
,03,2,25,55,3087
,03,2,25,56,3088
,03,2,25,57,3089
,03,2,25,58,3090
,03,2,25,59,3091
,03,2,25,60,3092
,FEDEX_GROUND_204,2,68,54,3086
,FEDEX_GROUND_204,2,68,55,3087
,FEDEX_GROUND_204,2,68,56,3088
,FEDEX_GROUND_204,2,68,57,3089
,FEDEX_GROUND_204,2,68,58,3090
,FEDEX_GROUND_204,2,68,59,3091
,FEDEX_GROUND_204,2,68,60,3092
,GROUND_HOME_DELIVERY_204,2,69,54,3086
,GROUND_HOME_DELIVERY_204,2,69,55,3087
,GROUND_HOME_DELIVERY_204,2,69,56,3088
,GROUND_HOME_DELIVERY_204,2,69,57,3089
,GROUND_HOME_DELIVERY_204,2,69,58,3090
,GROUND_HOME_DELIVERY_204,2,69,59,3091
,GROUND_HOME_DELIVERY_204,2,69,60,3092
,FEDEX_GROUND,2,4,54,3086
,FEDEX_GROUND,2,4,55,3087
,FEDEX_GROUND,2,4,56,3088
,FEDEX_GROUND,2,4,57,3089
,FEDEX_GROUND,2,4,58,3090
,FEDEX_GROUND,2,4,59,3091
,FEDEX_GROUND,2,4,60,3092
,GROUND_HOME_DELIVERY,2,5,54,3086
,GROUND_HOME_DELIVERY,2,5,55,3087
,GROUND_HOME_DELIVERY,2,5,56,3088
,GROUND_HOME_DELIVERY,2,5,57,3089
,GROUND_HOME_DELIVERY,2,5,58,3090
,GROUND_HOME_DELIVERY,2,5,59,3091
,GROUND_HOME_DELIVERY,2,5,60,3092
