rate_id,service_id,fee_group,fee_code,fee_code_carrier,fee_type,commercial,residential,additional,rate_shopping,fee,start_date,end_date
,3056,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3056,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3056,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3056,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3056,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3057,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3057,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3057,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3057,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3057,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3058,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3058,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3058,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
