service_quote_id,service_id,name,index,quote,unit,start_date,end_date,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
,3056,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3056,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3057,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3057,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3058,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3058,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3059,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3059,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3060,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3060,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3061,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3061,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3062,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3062,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3063,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3063,USPS Ground Advantage Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3064,UPS mail innovation Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
,3064,UPS mail innovation Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2024/8/5 0:00,2099/12/31 23:59,0,0,0,,2024/8/5 0:00,0,,0
