zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
12311,600,699,103,5,225,0,0,0,,2023/2/28 16:38,0,2024/7/9 0:57,0
16286,600,699,109,5,225,0,0,0,,2023/2/28 16:38,0,2024/7/9 0:57,0
20261,600,699,100,5,225,0,0,0,,2023/2/28 16:38,0,2024/7/9 0:57,0
24234,600,699,101,5,225,0,0,0,,2023/2/28 16:39,0,2024/7/9 0:57,0
29153,600,699,112,5,225,0,0,0,,2023/4/28 1:37,0,2024/7/9 0:57,0
42611,600,699,113,5,225,0,0,0,,2023/9/12 0:00,336,2024/7/9 0:57,336
48151,600,699,114,5,225,0,0,0,,2024/2/4 0:00,336,2024/7/9 0:57,336
56488,600,699,116,5,225,0,0,0,,2024/5/13 0:00,0,2024/7/9 0:57,0
59238,600,699,117,5,225,0,0,0,,2024/7/10 0:00,336,2024/7/10 0:00,336
12312,700,799,103,5,225,0,0,0,,2023/2/28 16:38,0,2024/7/9 0:57,0
16287,700,799,109,5,225,0,0,0,,2023/2/28 16:38,0,2024/7/9 0:57,0
20262,700,799,100,5,225,0,0,0,,2023/2/28 16:38,0,2024/7/9 0:57,0
24235,700,799,101,5,225,0,0,0,,2023/2/28 16:39,0,2024/7/9 0:57,0
29154,700,799,112,5,225,0,0,0,,2023/4/28 1:37,0,2024/7/9 0:57,0
42612,700,799,113,5,225,0,0,0,,2023/9/12 0:00,336,2024/7/9 0:57,336
48152,700,799,114,5,225,0,0,0,,2024/2/4 0:00,336,2024/7/9 0:57,336
56489,700,799,116,5,225,0,0,0,,2024/5/13 0:00,0,2024/7/9 0:57,0
59239,700,799,117,5,225,0,0,0,,2024/7/10 0:00,336,2024/7/10 0:00,336
12313,900,999,103,5,225,0,0,0,,2023/2/28 16:38,0,2024/7/9 0:57,0
16288,900,999,109,5,225,0,0,0,,2023/2/28 16:38,0,2024/7/9 0:57,0
20263,900,999,100,5,225,0,0,0,,2023/2/28 16:38,0,2024/7/9 0:57,0
24236,900,999,101,5,225,0,0,0,,2023/2/28 16:39,0,2024/7/9 0:57,0
29155,900,999,112,5,225,0,0,0,,2023/4/28 1:37,0,2024/7/9 0:57,0
42613,900,999,113,5,225,0,0,0,,2023/9/12 0:00,336,2024/7/9 0:57,336
48153,900,999,114,5,225,0,0,0,,2024/2/4 0:00,336,2024/7/9 0:57,336
56490,900,999,116,5,225,0,0,0,,2024/5/13 0:00,0,2024/7/9 0:57,0
59240,900,999,117,5,225,0,0,0,,2024/7/10 0:00,336,2024/7/10 0:00,336
