"rate_company_id","company_id","service_id","fee_group","fee_code","fee","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
495,1,1610,"Fuel Surcharge","FSC",0.00,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
496,1,1610,"Delivery Confirmation Signature","DCS",6.75,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
497,1,1610,"Delivery Confirmation Signature Commercial","CSG",6.75,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
498,1,1610,"Adult Signature Required","ADS",8.15,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
499,1,1610,"Over Maximum","OML",1250.00,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
500,1,1610,"Over Maximum","OVR",1250.00,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
501,1,1610,"Over Maximum","OVX",1250.00,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
502,1,1610,"Address Correction","ADC",22.50,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
509,1,1610,"Return To Sender - Web Request","ISW",22.50,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
510,1,1610,"Reroute - Web Request","IRW",22.50,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
23928,1,1610,"Additional Handling Charge","AHC-1",2.14,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:40",0
23929,1,1610,"Additional Handling Charge","AHC-2",2.52,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:40",0
