"rate_company_id","company_id","service_id","weight","unit","zone","fee","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
1284880,1,1610,1,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284881,1,1610,2,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284882,1,1610,3,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284883,1,1610,4,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284884,1,1610,5,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284885,1,1610,6,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284886,1,1610,7,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284887,1,1610,8,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284888,1,1610,9,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284889,1,1610,10,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284890,1,1610,11,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284891,1,1610,12,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284892,1,1610,13,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284893,1,1610,14,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284894,1,1610,15,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284895,1,1610,16,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284896,1,1610,17,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284897,1,1610,18,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284898,1,1610,19,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284899,1,1610,20,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284900,1,1610,21,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284901,1,1610,22,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284902,1,1610,23,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284903,1,1610,24,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284904,1,1610,25,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284905,1,1610,26,"lb",2,7.16,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284906,1,1610,27,"lb",2,7.36,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284907,1,1610,28,"lb",2,7.53,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284908,1,1610,29,"lb",2,7.53,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284909,1,1610,30,"lb",2,7.57,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284910,1,1610,31,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284911,1,1610,32,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284912,1,1610,33,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284913,1,1610,34,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284914,1,1610,35,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284915,1,1610,36,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284916,1,1610,37,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284917,1,1610,38,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284918,1,1610,39,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284919,1,1610,40,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284920,1,1610,41,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284921,1,1610,42,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284922,1,1610,43,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284923,1,1610,44,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284924,1,1610,45,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284925,1,1610,46,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284926,1,1610,47,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284927,1,1610,48,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284928,1,1610,49,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284929,1,1610,50,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284930,1,1610,51,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284931,1,1610,52,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284932,1,1610,53,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284933,1,1610,54,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284934,1,1610,55,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284935,1,1610,56,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284936,1,1610,57,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284937,1,1610,58,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
1284938,1,1610,59,"lb",2,7.04,"2024-11-20 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-11-20 00:00:00",0,"2024-11-20 00:00:00",336
