zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
15434,06100,06199,109,4,103,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:10,0
15436,06300,06399,109,4,103,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:11,0
15437,06400,06499,109,4,103,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:11,0
15484,12100,12199,109,4,103,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:12,0
15485,12200,12299,109,4,103,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:12,0
15569,20600,20699,109,4,103,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:12,0
15572,20900,20999,109,4,102,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:13,0
15692,33100,33199,109,4,107,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:13,0
15695,33400,33499,109,4,106,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:13,0
16142,82200,82299,109,4,106,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:14,0
16340,06100,06199,109,5,203,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:10,0
16342,06300,06399,109,5,203,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:11,0
16343,06400,06499,109,5,203,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:11,0
16390,12100,12199,109,5,203,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:12,0
16391,12200,12299,109,5,203,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:12,0
16475,20600,20699,109,5,203,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:12,0
16478,20900,20999,109,5,202,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:13,0
16598,33100,33199,109,5,207,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:13,0
16601,33400,33499,109,5,206,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:13,0
17048,82200,82299,109,5,206,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:14,0
19501,16300,16399,100,4,105,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:36,0
19517,17900,17999,100,4,105,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:18,0
19667,33100,33199,100,4,107,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:19,0
19669,33300,33399,100,4,107,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:19,0
19670,33400,33499,100,4,107,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:19,0
19766,43800,43899,100,4,104,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:20,0
19917,60000,60099,100,4,103,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:20,0
20068,76900,76999,100,4,106,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:21,0
20407,16300,16399,100,5,205,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:36,0
20423,17900,17999,100,5,205,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:18,0
20573,33100,33199,100,5,207,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:19,0
20575,33300,33399,100,5,207,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:19,0
20576,33400,33499,100,5,207,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:19,0
20672,43800,43899,100,5,204,0,0,0,,2023/3/1 0:38,0,2024/12/2 23:20,0
