zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
,00500,00599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,00600,00699,101,1,45,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,00700,00799,101,1,45,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,00900,00999,101,1,45,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01000,01099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01100,01199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01200,01299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01300,01399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01400,01499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01500,01599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01600,01699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01700,01799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01800,01899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,01900,01999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02000,02099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02100,02199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02200,02299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02300,02399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02400,02499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02500,02599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02600,02699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02700,02799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02800,02899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,02900,02999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03000,03099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03100,03199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03200,03299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03300,03399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03400,03499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03500,03599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03600,03699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03700,03799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03800,03899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,03900,03999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,04000,04099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,04100,04199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,04200,04299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,04300,04399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,04400,04499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
