zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone
,00500,00599,119,4,105
,00600,00699,119,4,125
,00700,00799,119,4,125
,00900,00999,119,4,125
,01000,01099,119,4,105
,01100,01199,119,4,105
,01200,01299,119,4,105
,01300,01399,119,4,105
,01400,01499,119,4,105
,01500,01599,119,4,105
,01600,01699,119,4,105
,01700,01799,119,4,105
,01800,01899,119,4,105
,01900,01999,119,4,105
,02000,02099,119,4,105
,02100,02199,119,4,105
,02200,02299,119,4,105
,02300,02399,119,4,105
,02400,02499,119,4,105
,02500,02599,119,4,105
,02600,02699,119,4,105
,02700,02799,119,4,105
,02800,02899,119,4,105
,02900,02999,119,4,105
,03000,03099,119,4,105
,03100,03199,119,4,105
,03200,03299,119,4,105
,03300,03399,119,4,105
,03400,03499,119,4,105
,03500,03599,119,4,105
,03600,03699,119,4,105
,03700,03799,119,4,105
,03800,03899,119,4,105
,03900,03999,119,4,105
,04000,04099,119,4,105
,04100,04199,119,4,105
,04200,04299,119,4,105
,04300,04399,119,4,106
,04400,04499,119,4,106
,04500,04599,119,4,105
,04600,04699,119,4,106
,04700,04799,119,4,106
,04800,04899,119,4,106
,04900,04999,119,4,106
,05000,05099,119,4,105
,05100,05199,119,4,105
,05200,05299,119,4,105
,05300,05399,119,4,105
,05400,05499,119,4,105
,05500,05599,119,4,105
,05600,05699,119,4,105
,05700,05799,119,4,105
,05800,05899,119,4,105
,05900,05999,119,4,105
,06000,06099,119,4,105
,06100,06199,119,4,105
,06200,06299,119,4,105
,06300,06399,119,4,105
,06400,06499,119,4,105
,06500,06599,119,4,105
,06600,06699,119,4,105
,06700,06799,119,4,105
,06800,06899,119,4,105
,06900,06999,119,4,105
,07000,07099,119,4,105
,07100,07199,119,4,105
,07200,07299,119,4,105
,07300,07399,119,4,105
,07400,07499,119,4,105
,07500,07599,119,4,105
,07600,07699,119,4,105
,07700,07799,119,4,105
,07800,07899,119,4,105
,07900,07999,119,4,105
,08000,08099,119,4,105
,08100,08199,119,4,104
,08200,08299,119,4,104
,08300,08399,119,4,104
,08400,08499,119,4,104
,08500,08599,119,4,105
,08600,08699,119,4,105
,08700,08799,119,4,105
,08800,08899,119,4,105
,08900,08999,119,4,105
,10000,10099,119,4,105
,10100,10199,119,4,105
,10200,10299,119,4,105
,10300,10399,119,4,105
,10400,10499,119,4,105
,10500,10599,119,4,105
,10600,10699,119,4,105
,10700,10799,119,4,105
,10800,10899,119,4,105
,10900,10999,119,4,105
,11000,11099,119,4,105
,11100,11199,119,4,105
,11200,11299,119,4,105
,11300,11399,119,4,105
,11400,11499,119,4,105
,11500,11599,119,4,105
,11600,11699,119,4,105
,11700,11799,119,4,105
,11800,11899,119,4,105
,11900,11999,119,4,105
,12000,12099,119,4,105
,12100,12199,119,4,105
,12200,12299,119,4,105
,12300,12399,119,4,105
,12400,12499,119,4,105
,12500,12599,119,4,105
,12600,12699,119,4,105
,12700,12799,119,4,105
,12800,12899,119,4,105
,12900,12999,119,4,105
,13000,13099,119,4,105
,13100,13199,119,4,105
,13200,13299,119,4,105
,13300,13399,119,4,105
,13400,13499,119,4,105
,13500,13599,119,4,105
,13600,13699,119,4,105
,13700,13799,119,4,105
,13800,13899,119,4,105
,13900,13999,119,4,105
,14000,14099,119,4,105
,14100,14199,119,4,105
,14200,14299,119,4,105
,14300,14399,119,4,105
,14400,14499,119,4,105
,14500,14599,119,4,105
,14600,14699,119,4,105
,14700,14799,119,4,105
,14800,14899,119,4,105
,14900,14999,119,4,105
,15000,15099,119,4,104
,15100,15199,119,4,104
,15200,15299,119,4,104
,15300,15399,119,4,104
,15400,15499,119,4,104
,15500,15599,119,4,104
,15600,15699,119,4,104
,15700,15799,119,4,104
,15800,15899,119,4,105
,15900,15999,119,4,104
,16000,16099,119,4,104
,16100,16199,119,4,105
,16200,16299,119,4,104
,16300,16399,119,4,105
