zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone
,00500,00599,101,4,108
,00600,00699,101,4,125
,00700,00799,101,4,125
,00900,00999,101,4,125
,01000,01099,101,4,108
,01100,01199,101,4,108
,01200,01299,101,4,108
,01300,01399,101,4,108
,01400,01499,101,4,108
,01500,01599,101,4,108
,01600,01699,101,4,108
,01700,01799,101,4,108
,01800,01899,101,4,108
,01900,01999,101,4,108
,02000,02099,101,4,108
,02100,02199,101,4,108
,02200,02299,101,4,108
,02300,02399,101,4,108
,02400,02499,101,4,108
,02500,02599,101,4,108
,02600,02699,101,4,108
,02700,02799,101,4,108
,02800,02899,101,4,108
,02900,02999,101,4,108
,03000,03099,101,4,108
,03100,03199,101,4,108
,03200,03299,101,4,108
,03300,03399,101,4,108
,03400,03499,101,4,108
,03500,03599,101,4,108
,03600,03699,101,4,108
,03700,03799,101,4,108
,03800,03899,101,4,108
,03900,03999,101,4,108
,04000,04099,101,4,108
,04100,04199,101,4,108
,04200,04299,101,4,108
,04300,04399,101,4,108
,04400,04499,101,4,108
,04500,04599,101,4,108
,04600,04699,101,4,108
,04700,04799,101,4,108
,04800,04899,101,4,108
,04900,04999,101,4,108
,05000,05099,101,4,108
,05100,05199,101,4,108
,05200,05299,101,4,108
,05300,05399,101,4,108
,05400,05499,101,4,108
,05500,05599,101,4,108
,05600,05699,101,4,108
,05700,05799,101,4,108
,05800,05899,101,4,108
,05900,05999,101,4,108
,06000,06099,101,4,108
,06100,06199,101,4,108
,06200,06299,101,4,108
,06300,06399,101,4,108
,06400,06499,101,4,108
,06500,06599,101,4,108
,06600,06699,101,4,108
,06700,06799,101,4,108
,06800,06899,101,4,108
,06900,06999,101,4,108
,07000,07099,101,4,108
,07100,07199,101,4,108
,07200,07299,101,4,108
,07300,07399,101,4,108
,07400,07499,101,4,108
,07500,07599,101,4,108
,07600,07699,101,4,108
,07700,07799,101,4,108
,07800,07899,101,4,108
,07900,07999,101,4,108
,08000,08099,101,4,108
,08100,08199,101,4,108
,08200,08299,101,4,108
,08300,08399,101,4,108
,08400,08499,101,4,108
,08500,08599,101,4,108
,08600,08699,101,4,108
