zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,start_date,end_date
,90001,90001,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90002,90002,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90003,90003,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90004,90004,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90005,90005,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90006,90006,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90007,90007,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90008,90008,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90010,90010,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90011,90011,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90012,90012,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90013,90013,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90014,90014,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90015,90015,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90016,90016,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90017,90017,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90018,90018,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90019,90019,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90020,90020,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90021,90021,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90022,90022,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90023,90023,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90024,90024,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90025,90025,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90026,90026,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90027,90027,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90028,90028,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90029,90029,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90031,90031,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90032,90032,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90033,90033,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90034,90034,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90035,90035,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90036,90036,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90037,90037,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90038,90038,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90039,90039,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90040,90040,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90041,90041,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90042,90042,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90043,90043,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90044,90044,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90045,90045,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90046,90046,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90047,90047,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90048,90048,130,12,2,2025/1/1 0:00,2099/12/31 23:59
