zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,start_date,end_date
,00500,00599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,00600,00699,19072,2,8,2025/12/23 22:00,2099/12/31 23:59
,00700,00799,19072,2,8,2025/12/23 22:00,2099/12/31 23:59
,00800,00899,19072,2,8,2025/12/23 22:00,2099/12/31 23:59
,00900,00999,19072,2,8,2025/12/23 22:00,2099/12/31 23:59
,01000,01099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,01100,01199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,01200,01299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,01300,01399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,01400,01499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,01500,01599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,01600,01699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,01700,01799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,01800,01899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,01900,01999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02000,02099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02100,02199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02200,02299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02300,02399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02400,02499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02500,02599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02600,02699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02700,02799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02800,02899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,02900,02999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03000,03099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03100,03199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03200,03299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03300,03399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03400,03499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03500,03599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03600,03699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03700,03799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03800,03899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,03900,03999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,04000,04099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,04100,04199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,04200,04299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,04300,04399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,04400,04499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,04500,04599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,04600,04699,19072,2,6,2025/12/23 22:00,2099/12/31 23:59
,04700,04799,19072,2,6,2025/12/23 22:00,2099/12/31 23:59
,04800,04899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,04900,04999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05000,05099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05100,05199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05200,05299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05300,05399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05400,05499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05500,05599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05600,05699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05700,05799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05800,05899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,05900,05999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,06000,06099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,06100,06199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
